Country,female_BMI,male_BMI,gdp,population,under5mortality,life_expectancy,fertility
Afghanistan,21.07402,20.62058,1311.0,26528741.0,110.4,52.8,6.2
Albania,25.65726,26.44657,8644.0,2968026.0,17.9,76.8,1.76
Algeria,26.368409999999997,24.5962,12314.0,34811059.0,29.5,75.5,2.73
Angola,23.48431,22.25083,7103.0,19842251.0,192.0,56.7,6.43
Antigua and Barbuda,27.50545,25.76602,25736.0,85350.0,10.9,75.5,2.16
Argentina,27.46523,27.5017,14646.0,40381860.0,15.4,75.4,2.24
Armenia,27.1342,25.355420000000002,7383.0,2975029.0,20.0,72.3,1.4
Australia,26.87777,27.56373,41312.0,21370348.0,5.2,81.6,1.96
Austria,25.09414,26.467409999999997,43952.0,8331465.0,4.6,80.4,1.41
Azerbaijan,27.50879,25.65117,14365.0,8868713.0,43.3,69.2,1.99
Bahamas,29.13948,27.24594,24373.0,348587.0,14.5,72.2,1.89
Bahrain,28.790940000000003,27.83721,42507.0,1115777.0,9.4,77.6,2.23
Bangladesh,20.54531,20.39742,2265.0,148252473.0,55.9,68.3,2.38
Barbados,29.221690000000002,26.384390000000003,16075.0,277315.0,15.4,75.3,1.83
Belarus,26.641859999999998,26.16443,14488.0,9526453.0,7.2,70.0,1.42
Belgium,25.1446,26.75915,41641.0,10779155.0,4.7,79.6,1.82
Belize,29.81663,27.02255,8293.0,306165.0,20.1,70.7,2.91
Benin,23.74026,22.41835,1646.0,8973525.0,116.3,59.7,5.27
Bhutan,22.88243,22.8218,5663.0,694990.0,48.1,70.7,2.51
Bolivia,26.8633,24.43335,5066.0,9599916.0,52.0,71.2,3.48
Bosnia and Herzegovina,26.35874,26.611629999999998,9316.0,3839749.0,8.1,77.5,1.22
Botswana,26.09156,22.129839999999998,13858.0,1967866.0,63.8,53.2,2.86
Brazil,25.99113,25.78623,13906.0,194769696.0,18.6,73.2,1.9
Brunei,22.892310000000002,24.18179,72351.0,380786.0,9.0,76.9,2.1
Bulgaria,25.51574,26.542859999999997,15368.0,7513646.0,13.7,73.2,1.43
Burkina Faso,21.63031,21.27157,1358.0,14709011.0,130.4,58.0,6.04
Burundi,21.27927,21.50291,723.0,8821795.0,108.6,59.1,6.48
Cambodia,21.69608,20.80496,2442.0,13933660.0,51.5,66.1,3.05
Cameroon,24.9527,23.681729999999998,2571.0,19570418.0,113.8,56.6,5.17
Canada,26.698290000000004,27.4521,41468.0,33363256.0,5.8,80.8,1.68
Cape Verde,24.96136,23.515220000000003,6031.0,483824.0,28.4,70.4,2.57
Chad,21.95424,21.485689999999998,1753.0,11139740.0,168.0,54.3,6.81
Chile,27.92807,27.015420000000002,18698.0,16645940.0,8.9,78.5,1.89
China,22.91041,22.92176,7880.0,1326690636.0,18.5,73.4,1.53
Colombia,26.22529,24.94041,10489.0,44901660.0,19.7,76.2,2.43
Comoros,22.444329999999997,22.06131,1440.0,665414.0,91.2,67.1,5.05
"Congo, The Democratic Republic of the",21.6677,19.86692,607.0,61809278.0,124.5,57.5,6.45
"Congo",23.10824,21.87134,5022.0,3832771.0,72.6,58.8,5.1
Costa Rica,27.03497,26.47897,12219.0,4429506.0,10.3,79.8,1.91
Ivory Coast,23.82088,22.56469,2854.0,19261647.0,116.9,55.4,4.91
Croatia,25.17882,26.596290000000003,21873.0,4344151.0,5.9,76.2,1.43
Cuba,26.576140000000002,25.06867,17765.0,11290239.0,6.3,77.6,1.5
Cyprus,25.92587,27.41899,35828.0,1077010.0,4.2,80.0,1.49
Denmark,25.106270000000002,26.13287,45017.0,5495302.0,4.3,78.9,1.89
Djibouti,24.38177,23.38403,2502.0,809639.0,81.0,61.8,3.76
Ecuador,27.062690000000003,25.58841,9244.0,14447600.0,26.8,74.7,2.73
Egypt,30.099970000000003,26.732429999999997,9974.0,78976122.0,31.4,70.2,2.95
El Salvador,27.84092,26.36751,7450.0,6004199.0,21.6,73.7,2.32
