OwnerAge,Gender,Breed,DogAge
60,M,Welsh Terrier,3
60,W,Cairn Terrier,12
40,M,Labrador Retriever,2
60,W,Mittelschnauzer,4
50,M,Shih Tzu,3
60,W,Dachshund,4
40,W,Bichon frisé,2
60,W,Zwergdackel,12
50,W,Labrador Retriever,9
40,W,Bergamasker,13
40,W,Bergamasker,10
40,W,Border Collie,13
60,W,Pinscher,1
70,W,Labrador Retriever,2
60,W,Chihuahua,3
60,W,Chihuahua,0
60,W,West Highland White Terrier,12
50,M,Golden Retriever,1
40,M,Weimaraner,1
50,M,Tibetan Spaniel,1
50,M,Leonberger,3
50,M,Shiba Inu,11
50,M,Labrador Retriever,0
60,M,Beagle,4
999,M,Lagotto Romagnolo,7
60,M,Border Terrier,3
60,M,Magyar Viszla,9
60,M,Prager Rattler,14
50,M,Französische Bulldogge,1
60,M,Cocker Spaniel,0
50,W,Zwergrauhaardackel,5
60,M,Jack Russel Terrier,9
50,W,Mops,3
999,M,Appenzeller Sennenhund,1
40,M,Mops,3
50,M,Staffordshire Bullterrier,9
60,W,Grosspudel,2
50,W,Spitz,17
50,M,Englische Bulldogge,3
60,M,English Springer Spaniel,9
50,W,Malteser,13
50,M,Dobermann,8
999,M,Jack Russel Terrier,12
50,M,Langhaardackel,9
999,M,Chihuahua,7
40,M,Chihuahua,4
50,M,Labrador Retriever,3
40,W,Jack Russel Terrier,6
50,M,Malteser,0
60,M,Bolonka Zwetna,2
50,M,Labrador Retriever,5
80,M,Deutscher Kleinspitz,3
80,M,Toypudel,13
60,M,Terrier,12
40,M,Weisser Schäferhund (Berger Blanc Suisse),8
40,M,Chihuahua,3
50,M,Zwergpudel,2
40,M,Grosspudel,2
50,M,Französische Bulldogge,2
70,W,Spitz,1
60,M,Foxterrier,9
40,M,Labrador Retriever,5
50,M,Kooikerhondje,4
50,W,Mittelpudel,1
40,M,Cocker Spaniel,0
60,W,Cairn Terrier,3
30,M,Yorkshire Terrier,3
60,M,Boxer,1
80,M,Zwergdackel,0
80,M,Zwergrauhaardackel,13
60,W,Pudel,2
