,Id,Expected,Rooms,SqrMeters,Floor,Location
0,1,269000,3,55.0,1,Poznań Zawady
1,2,320000,3,79.0,10,Poznań Rataje ul. Orła Bialego
2,3,146000,1,31.21,1,Poznań Nowe Miasto ul. Kawalerka W Nowym Bloku Tuż Przy Lesie
3,4,189000,2,44.0,2,Poznań Grunwald Ogrody Jeżyce Centrum Łazarz ul. Bułgarska - Dobra Cena!!!
4,5,480240,2,65.25,1,Poznań ul. Droga Dębińska 19
5,6,485500,2,56.0,1,Poznań Winogrady ul. Winogrady
6,7,299000,2,26.8,1,Poznań Wilda ul. Różana
7,8,380000,3,63.9,4,Poznań Piątkowo
8,9,340000,2,59.0,1,Poznań Stare Miasto ul. Naramowicka
9,10,207076,2,43.1,2,Poznań Baranowo Baranowo ul. Szamotulska
10,11,259000,2,49.0,1,Poznań Rataje ul. Piastowskie
11,12,160000,1,29.0,1,Poznań Łazarz Grunwald Górczyn Centrum Ogrody ul. Łukaszewicza - Po Remoncie!!!
12,13,252000,3,48.0,1,Poznań ul. Ognik
13,14,950000,5,161.3,1,Poznań Stare Miasto Centrum
14,15,299000,3,58.2,1,Poznań Rataje ul. Os.Powstań Narodowych
15,16,579000,4,112.0,1,Poznań Podolany
16,17,323849,2,54.7,4,Poznań Grunwald ul. Kamiennogórska
17,18,375000,4,74.0,2,Poznań Piątkowo/Morasko ul. Romana Drewsa
18,19,289000,5,99.76,1,Poznań Kameralne Osiedle Domów Energooszczędnyc ul. Nowe Osiedle Tygrysie Dachowa Ul.Nowina
19,20,309000,3,65.0,4,Poznań Grunwald ul. Raszkowska
20,21,144000,1,26.0,1,Poznań Wilda Łazarz Grunwald Centrum Hetmańs ul. Hetmańska
21,22,279000,2,48.0,2,Poznań Łazarz ul. Chociszewskiego
22,23,255000,1,37.0,3,Poznań Stare Miasto ul. Chwaliszewo
23,24,385000,2,61.2,1,Poznań Naramowice ul. Naramowicka
24,25,295000,2,61.0,3,Poznań Stare Miasto ul. Rybaki Półwiejska Strzelecka Mikołaja Kop
25,26,270000,2,69.0,3,Poznań Grunwald ul. Romualda Traugutta
26,27,295068,3,49.46,2,Poznań Winogrady ul. Hawelańska
27,28,285000,2,50.0,1,Poznań Piątkowo Naramowice Winogrady Morask ul. Sobieskiego
28,29,233000,1,31.0,3,Poznań Piątkowo Stare Miasto ul. Os.Batorego Niski Blok
29,30,320000,3,59.93,1,Poznań Grunwald ul. Ząbkowicka
30,31,235000,2,46.0,1,Poznań Rataje ul. Os. Rusa
31,32,267379,2,46.42,1,Poznań Nowe Miasto ul. Smolna 13 D
32,33,499000,3,90.0,3,Poznań Strzeszyn Jeżyce ul. Fieldorfa Literacka
33,34,167999,1,37.0,1,Poznań Wilda ul. Dezyderego Chłapowskiego
34,35,300000,4,70.0,1,Poznań ul. Śródka Zawady Małachowskiego Tomickieg
35,36,319000,2,55.0,1,Poznań Winiary ul. Winiary
36,37,266307,2,47.47,1,Poznań Nowe Miasto ul. Smolna 13 D
37,38,417000,3,55.0,5,Poznań Rataje ul. Katowicka Rataje Malta Nowe Miasto Rataj
38,39,269000,1,36.0,2,Poznań Winogrady Naramowice Piątkowo Sołacz Cent ul. Serbska - Mieszkanie Do Wejścia Polecam!!
39,40,183000,1,33.13,4,Poznań Stare Miasto ul. Piaskowa
40,41,290000,3,54.0,3,Poznań Stare Miasto ul. Os. Powstańców Warszawy
41,42,199000,1,25.04,4,Poznań Wilda ul. Topolowa
42,43,458298,2,31.6,4,Poznań Stare Miasto ul. Dominikańska
43,44,255000,1,33.0,1,Poznań Jeżyce
44,45,345000,3,84.0,1,Poznań Winogrady Stare Miasto ul. Powstańców Warszawy
45,46,449000,4,108.0,3,Poznań Grunwald ul. Juliusza Kossaka
46,47,420000,3,74.6,1,Poznań Górczyn ul. Kopanina
47,48,235000,2,38.0,9,Poznań Winogrady ul. Os. Kosmonautów
48,49,329000,3,58.62,1,Poznań ul. Dolina
49,50,355000,3,64.0,1,Poznań Rataje
50,51,349000,2,55.0,1,Poznań Stare Miasto Winogrady ul. Zbożowa
51,52,249000,2,46.76,1,Poznań Grunwald ul. Biedrzyckiego
52,53,274900,2,49.3,11,Poznań Stare Miasto Piątkowo
53,54,345000,2,51.0,2,Poznań Wilda ul. Kosińskiego
54,55,230767,2,47.3,1,Poznań Centrum
55,56,250000,1,35.0,3,Poznań Piątkowo ul. Ul. Teofila Mateckiego Obornicka
56,57,195000,1,22.0,1,Poznań Jeżyce ul. Zwierzyniecka Gajowa
57,58,226000,3,45.0,3,Poznań Grunwald ul. Promienista
58,59,600000,3,106.0,2,Poznań Jeżyce ul. Dąbrowskiego
59,60,239000,2,37.9,3,Poznań Wilda ul. Kosińskiego
60,61,319024,3,54.29,3,Poznań Stare Miasto Naramowice ul. Naramowice
61,62,569000,4,113.0,1,Poznań Naramowice ul. Błażeja
62,63,139000,1,31.2,3,Poznań Dębiec ul. Łozowa Kasztanowa
63,64,225000,2,45.0,3,Poznań Grunwald
64,65,329000,3,70.0,8,Poznań Nowe Miasto ul. Orła Białego
65,66,209000,2,42.5,9,Poznań Poznań-Grunwald ul. Izaaka Newtona
66,67,243162,2,42.66,1,Poznań Wilda ul. Rolna 37 I 39
67,68,643987,3,44.76,3,Poznań Stare Miasto ul. Dominikańska
68,69,199000,2,37.9,1,Poznań
69,70,168000,1,37.0,1,Poznań Wilda ul. Chłapowskiego
70,71,305000,2,54.0,1,Poznań Naramowice ul. Błażeja
